model,dataset,d_effective,r2_val,v_eps01,v_eps05,v_eps10,n_pairs_eps01,n_pairs_eps05,n_pairs_eps10,lip_q50,lip_q90,lip_q95,lip_q99,lip_tail_ratio,lip_mean,lip_std,tau,diameter,n_folds
chebypoly,Ailerons,30,0.8445341445060096,0.6690130480159027,0.7693024765582595,0.7714741277877496,2300,54367,61194,2.0462899596160756e-05,6.459021259839455e-05,8.367237886802026e-05,0.00012804178584945248,0.7963280653792942,2.8688174133938924e-05,2.8071212638491578e-05,0.00011238851677068773,722.7923512269981,5
chebytree,Ailerons,30,0.8422543683644893,0.6713284268880798,0.7713518524305583,0.7736335888227093,2300,54367,61194,2.0732864849205347e-05,6.457852647527866e-05,8.334735729351467e-05,0.00012767063773400919,0.7894014542912117,2.880736729637824e-05,2.800069019196161e-05,0.00011220191627093511,722.7923512269981,5
dt,Ailerons,30,0.7584991740387779,0.6757857115203519,0.7780811910437728,0.779577343224317,2300,54367,61194,2.048974723710715e-05,6.342696102840396e-05,8.136723361194962e-05,0.0001240551790795224,0.7820514004056397,2.8258580977059057e-05,2.758410797082146e-05,0.00010802818776462597,722.7923512269981,5
erbf,Ailerons,30,0.8177027523984816,0.7185025637091929,0.8000229356979951,0.801853836913739,2300,54367,61194,2.2081646310151086e-05,6.463815312046725e-05,8.133105261306035e-05,0.00012018216117045254,0.7357075124335538,2.940613212531161e-05,2.6768682321396868e-05,0.00010976436882196397,722.7923512269981,5
rf,Ailerons,30,0.806628643927862,0.6791427751954007,0.7793510511929999,0.7814238870924016,2300,54367,61194,1.981126104370084e-05,6.0742153986380134e-05,7.772310060075254e-05,0.00011592517242462168,0.7672571546540947,2.7161009049117378e-05,2.5860739058412132e-05,0.00010417889754938047,722.7923512269981,5
ridge,Ailerons,30,0.8182633513267016,0.0,0.04230770703078047,0.35718838618507187,15,126,5858,6.070529812060466e-05,0.00014880498833235055,0.00017425959518320113,0.00021612281321346764,0.5515036683829735,7.146246715884972e-05,5.2844447461621186e-05,0.00011063171543365326,14.405761046681494,5
xgb,Ailerons,30,0.8265968668385397,0.6604369484910582,0.7670848190285933,0.768811773763122,2300,54367,61194,1.975397957788129e-05,6.226849955702986e-05,8.073532180292524e-05,0.00012238646287740024,0.7919568951305018,2.7611587403282503e-05,2.6990616886574196e-05,0.00010764608305180445,722.7923512269981,5
chebypoly,Allstate_Claims_Severity,50,0.46752368149835694,0.0,0.15047950594332088,0.2905100404702009,8,413,7321,0.3984924367252571,1.002008774333127,1.2182877623089396,1.7207073120228427,0.6352052750599813,0.49774410180594425,2.2661451108945205,593.497043901754,8523.549054782608,5
chebytree,Allstate_Claims_Severity,50,0.5000218899565912,0.0,0.02826401114408082,0.10280148702148598,8,413,7321,0.3480985245251098,0.9644563842278313,1.2486018712474007,2.0359767228348336,0.7667472163586366,0.4718219300390268,2.391760516225553,617.494182857908,8523.549054782608,5
dt,Allstate_Claims_Severity,50,0.3993645654874385,0.0,0.04321267206691125,0.1211117577880084,8,413,7321,0.22696648307254122,0.9024858728605366,1.1941224102509387,2.0701546539936397,0.9688657409397218,0.3790798082015715,3.8126473475042104,555.2248984226017,8523.549054782608,5
erbf,Allstate_Claims_Severity,50,0.49704158882086463,0.0,0.0334233877440677,0.14596547074550695,8,413,7321,0.353872790664188,1.000006136388134,1.281486593007391,2.0384551075812167,0.7600720557249692,0.4775122305322356,1.6268627476437463,613.79085270209,8523.549054782608,5
rf,Allstate_Claims_Severity,50,0.4388707684462762,0.0,0.012196980522033142,0.07018977566664045,8,413,7321,0.20502036281450256,0.6257955801981345,0.8230875654528621,1.3932906111513579,0.832193116953686,0.29990976123238583,2.272044349277372,512.2135943537935,8523.549054782608,5
ridge,Allstate_Claims_Severity,50,0.4501210518227314,0.0,0.0,0.004878048780487805,4,11,71,139.14113753207158,346.2374062652663,423.7135337811525,579.5368955608667,0.6196327579450596,167.15657818073367,130.46944725479995,579.9684928126431,13.256353294157165,5
xgb,Allstate_Claims_Severity,50,0.486287480953678,0.0,0.042447253777463716,0.10360619559781899,8,413,7321,0.33556786534697414,1.021325645249637,1.3530047328900767,2.334275725651788,0.8416649593503106,0.48589584247763684,2.538033475473838,644.270263671875,8523.549054782608,5
