model,dataset,rho_mean,rho_std,r2_val,n_folds
chebypoly,Ailerons,0.896693512912503,0.00697053209084332,0.8445341445060096,5
chebytree,Ailerons,0.9004171138460768,0.009215992564340744,0.8422543683644893,5
dt,Ailerons,0.8833209105643854,0.018146445870906552,0.7584991740387779,5
erbf,Ailerons,0.9191013008540116,0.007144608999453535,0.8177027523984816,5
rf,Ailerons,0.8490038317263211,0.009584935442963037,0.806628643927862,5
ridge,Ailerons,0.7040585051324179,0.0163726242633818,0.8182633513267016,5
xgb,Ailerons,0.8630196726746686,0.008756175591215856,0.8265968668385397,5
chebypoly,Allstate_Claims_Severity,0.365181556888946,0.08086526948836134,0.46752368149835694,5
chebytree,Allstate_Claims_Severity,0.3458825706639587,0.07463523917641261,0.5000218899565912,5
dt,Allstate_Claims_Severity,0.2837277441238176,0.08406835761223984,0.3993645654874385,5
erbf,Allstate_Claims_Severity,0.35074467496234185,0.07812606536837112,0.49704158882086463,5
rf,Allstate_Claims_Severity,0.22120559297596704,0.0549193807011201,0.4388707684462762,5
ridge,Allstate_Claims_Severity,0.4318060601027227,0.011526730537311743,0.4501210518227314,5
xgb,Allstate_Claims_Severity,0.3584247899073486,0.08702305563209281,0.486287480953678,5
chebypoly,Bike_Sharing_Demand,0.5217362466574367,0.014680284944848946,0.6441794703751459,5
chebytree,Bike_Sharing_Demand,0.5347283107810656,0.016111551361176573,0.6824087986484099,5
dt,Bike_Sharing_Demand,0.4565292669259183,0.024895676447264953,0.6545060105861941,5
erbf,Bike_Sharing_Demand,0.5094911231442938,0.021121268891070258,0.6716182528212722,5
rf,Bike_Sharing_Demand,0.3987826490257734,0.012668408516223842,0.6684171268726736,5
ridge,Bike_Sharing_Demand,0.15204932392312215,0.0034786298034333806,0.3333156505896449,5
xgb,Bike_Sharing_Demand,0.5504112228973052,0.011981426064161032,0.6887512316558366,5
chebypoly,Brazilian_houses,1.305715721647901,0.1163672238977497,0.9656670170522587,5
chebytree,Brazilian_houses,1.0122168373303766,0.03168314093465957,0.9820926970132067,5
dt,Brazilian_houses,1.0115266629458834,0.06402714059585836,0.9725939033268676,5
erbf,Brazilian_houses,1.5079824269585094,0.28427495698710326,0.9719430055391092,5
rf,Brazilian_houses,0.9787372302282519,0.020177218504031195,0.9790240736256852,5
ridge,Brazilian_houses,0.27746194429731724,0.08054821487304886,0.8361486934103229,5
xgb,Brazilian_houses,1.2142181617328767,0.08968343930486149,0.9872646145500406,5
chebypoly,MiamiHousing2016,0.5758954252749052,0.11234881493911268,0.9092486090427361,5
chebytree,MiamiHousing2016,0.5845396913684602,0.1149526883421077,0.89750084922739,5
dt,MiamiHousing2016,0.5528436543508773,0.12661987462403984,0.8023523138449751,5
erbf,MiamiHousing2016,0.5551635457170022,0.11218027495157772,0.9180379067966478,5
rf,MiamiHousing2016,0.46265686515596166,0.1011407153625154,0.8644760704638597,5
ridge,MiamiHousing2016,0.6255478233153808,0.00311371234383133,0.7169849285525965,5
xgb,MiamiHousing2016,0.5805735105540973,0.11853089328387457,0.9173623906388986,5
chebypoly,abalone,0.3098967102668568,0.01249617638560785,0.5597057267518735,5
chebytree,abalone,0.3331514834444894,0.006544524803381251,0.5653372533665,5
dt,abalone,0.3305735251621388,0.021130650966608506,0.4821923502554052,5
erbf,abalone,0.3425198839987663,0.034381422277530466,0.5572996945474092,5
rf,abalone,0.2964712545246274,0.009542843003315983,0.5485287310460788,5
ridge,abalone,0.26734442552349436,0.011021860502686338,0.5151522772954061,5
xgb,abalone,0.38573424326230316,0.03362008267157512,0.5223802473291739,5
chebypoly,airfoil_noise,0.7755462051740046,0.02056399062633488,0.7293914569755413,5
chebytree,airfoil_noise,0.8934081502434941,0.07713053052904717,0.8317089287556743,5
dt,airfoil_noise,0.7841811414782809,0.07029902971704143,0.7262144975392897,5
erbf,airfoil_noise,0.9589465418928385,0.013638267701642958,0.9211284839848404,5
rf,airfoil_noise,0.7053109385836709,0.03390918111158992,0.828774795708816,5
ridge,airfoil_noise,0.3245579331167357,0.02473401770108204,0.5053380731514416,5
xgb,airfoil_noise,0.9139234643520752,0.02990790168061003,0.9237879607902834,5
chebypoly,analcatdata_supreme,0.7191394934336236,0.0633734721223941,0.9780457347145429,5
chebytree,analcatdata_supreme,0.7719625920687702,0.04214070183450735,0.9779779014669071,5
dt,analcatdata_supreme,0.6949666694938653,0.05565094981708599,0.9780359444373345,5
erbf,analcatdata_supreme,0.8885814793813583,0.04691309718900787,0.9767899266693718,5
rf,analcatdata_supreme,0.8339767568837683,0.05263499685646645,0.9724473569498706,5
ridge,analcatdata_supreme,0.4505950178321686,0.03151637061440626,0.4302212893383047,5
xgb,analcatdata_supreme,0.805001162821168,0.09481727673510067,0.9775817970700398,5
chebypoly,california_housing,0.8375078202257724,0.008939654580685005,0.7300950928962384,5
chebytree,california_housing,0.8693120594563968,0.007473165371705352,0.7514483521936013,5
dt,california_housing,0.8133570315241132,0.00909529163051583,0.6672706932636479,5
erbf,california_housing,0.894139873273826,0.011620704879162525,0.7918151767467567,5
rf,california_housing,0.7563560954565474,0.005062962523253659,0.7395950209365623,5
ridge,california_housing,0.30969129171580767,0.03121144313923606,0.6009110375144694,5
xgb,california_housing,0.9143453860345359,0.008311172071937226,0.829206054905139,5
chebypoly,concrete_strength,0.8710083722211361,0.08659806124269356,0.8935199252459689,5
chebytree,concrete_strength,0.8489935489722444,0.05531744328396752,0.8664864141597801,5
dt,concrete_strength,0.8618425221686354,0.09390895047346956,0.810612429768382,5
