dataset,stratum,size_stratum,n_samples,n_features,ordinal,target_n_unique,unique_frac,frac_zero_diffs,non_continuous,target_class,reason
airfoil_noise,S1,Medium (1K-10K),1503,5.0,False,1456,0.968729,0.031292,False,continuous,continuous
concrete_strength,S1,Medium (1K-10K),1030,8.0,False,845,0.820388,0.179786,False,continuous,continuous
energy_efficiency_heating,S1,Small (<1K),768,8.0,False,586,0.763021,0.237288,False,continuous,continuous
feynman_gaussian,S1,Medium (1K-10K),8000,2.0,False,7798,0.97475,0.025253,False,continuous,continuous
feynman_wave_interference,S1,Medium (1K-10K),8000,4.0,False,8000,1.0,0.0,False,continuous,continuous
friedman1,S1,Medium (1K-10K),2000,5.0,False,2000,1.0,0.0,False,continuous,continuous
friedman1_d100,S1,Medium (1K-10K),2000,100.0,False,2000,1.0,0.0,False,continuous,continuous
pmlb_215_2dplanes,S1,Small (<1K),0,,False,40368,0.990188,0.009812,False,continuous,continuous
pmlb_225_puma8NH,S1,Small (<1K),0,,False,8192,1.0,0.0,False,continuous,continuous
power_plant,S1,Medium (1K-10K),9568,4.0,False,4836,0.505435,0.494617,False,continuous,continuous
Ailerons,S1,Large (>=10K),13750,33.0,False,35,0.002545,0.997527,True,non-continuous,quantised-measurement
cpu_act,S1,Medium (1K-10K),8192,21.0,False,56,0.006836,0.993285,True,non-continuous,quantised-measurement
elevators,S1,Large (>=10K),16599,16.0,False,61,0.003675,0.996385,True,non-continuous,quantised-measurement
pmlb_4544_GeographicalOriginalofMusic,S2,Small (<1K),0,,False,1057,0.998111,0.00189,False,continuous,continuous
Bike_Sharing_Demand,S2,Large (>=10K),17379,6.0,False,869,0.050003,0.950052,True,non-continuous,count
analcatdata_supreme,S2,Medium (1K-10K),4052,7.0,False,10,0.002468,0.997778,True,non-continuous,count
food_delivery_time,S2,Large (>=10K),45451,9.0,False,45,0.00099,0.999032,True,non-continuous,count
pmlb_1028_SWD,S2,Small (<1K),0,,True,4,0.004,0.996997,True,non-continuous,ordinal
pmlb_1029_LEV,S2,Small (<1K),0,,True,5,0.005,0.995996,True,non-continuous,ordinal
pmlb_1030_ERA,S2,Small (<1K),0,,True,9,0.009,0.991992,True,non-continuous,ordinal
pol,S2,Large (>=10K),15000,26.0,True,11,0.000733,0.999333,True,non-continuous,ordinal
student_performance,S2,Small (<1K),649,30.0,True,17,0.026194,0.975309,True,non-continuous,ordinal
wine_quality,S2,Medium (1K-10K),6497,11.0,True,7,0.001077,0.999076,True,non-continuous,ordinal
diabetes,S3,Small (<1K),442,10.0,False,214,0.484163,0.517007,False,continuous,continuous
esol,S3,Medium (1K-10K),1128,7.0,False,734,0.650709,0.349601,False,continuous,continuous
freesolv,S3,Small (<1K),642,16.0,False,486,0.757009,0.24337,False,continuous,continuous
lipophilicity,S3,Medium (1K-10K),4200,16.0,False,553,0.131667,0.86854,False,continuous,continuous
particulate-matter-ukair-2017,S3,Large (>=10K),394299,9.0,False,21599,0.054778,0.945224,False,continuous,continuous
physiochemical_protein,S3,Large (>=10K),45730,9.0,False,15903,0.347759,0.652256,False,continuous,continuous
pmlb_503_wind,S3,Small (<1K),0,,False,779,0.118497,0.881637,False,continuous,continuous
pmlb_522_pm10,S3,Small (<1K),0,,False,117,0.234,0.767535,False,continuous,continuous
pmlb_529_pollen,S3,Small (<1K),0,,False,3784,0.983368,0.016636,False,continuous,continuous
pmlb_547_no2,S3,Small (<1K),0,,False,385,0.77,0.230461,False,continuous,continuous
qm7,S3,Medium (1K-10K),6834,16.0,False,6481,0.948347,0.051661,False,continuous,continuous
qsar_fish_toxicity,S3,Small (<1K),907,6.0,False,827,0.911797,0.0883,False,continuous,continuous
